,0
3809-2384,1.525_0.94
3809-24880,0.457_0.98
3835-26751,1.225_0.99
3809-25005,0.396_1.0
3835-9037,1.646_0.977
3841-25005,0.758_0.925
3809-24276,0.258_1.0
3835-24798,1.215_0.935
3841-15847,1.996_0.99
3809-7203,1.331_0.995
3811-9037,1.024_0.98
3833-23105,2.0_0.994
3835-10723,1.034_0.963
3809-20370,0.352_0.999
3811-26751,1.505_0.999
3835-18273,0.087_1.0
3811-24276,0.451_0.996
3833-24276,1.511_0.941
3809-23232,1.345_0.986
3841-7053,0.134_1.0
3809-2238,0.735_0.898
3809-15,1.14_0.994
3835-18272,0.524_0.923
3809-1438,1.252_0.965
3809-31719,0.547_0.995
3803-2384,1.146_0.935
3809-11089,0.747_0.991
3803-24880,0.785_1.0
3809-25069,0.64_0.998
3841-24660,0.763_0.969
3835-18009,0.447_1.0
3833-26169,1.109_0.83
3841-24880,0.377_1.0
3833-22415,2.0_0.931
3835-25006,1.441_0.963
3809-20169,0.749_0.946
3841-5598,0.135_1.0
3809-18650,0.777_0.912
3809-26638,0.615_0.987
3811-2294,0.374_0.996
3809-19696,0.317_1.0
3803-21778,1.237_0.981
3809-25006,1.568_0.864
3803-27192,1.556_0.995
3803-26637,0.965_0.846
3803-2238,1.082_0.9
3811-26637,0.659_0.995
3809-26001,1.529_0.96
3803-26001,0.905_0.991
3811-25106,0.47_0.998
3811-22548,0.459_0.995
3811-2238,0.637_0.88
3841-24788,0.092_1.0
3803-1271,0.329_1.0
3811-10283,1.039_0.848
3811-26291,2.0_0.951
3811-25005,0.573_0.999
3803-15,0.454_1.0
3811-24788,1.426_0.999
3809-9706,0.821_0.996
3803-6661,0.637_0.965
3809-8803,1.478_0.985
3809-2554,1.106_0.988
3809-26954,0.989_0.964
3841-15,0.669_0.928
3811-18271,0.549_0.997
3809-18907,0.273_1.0
3809-2294,1.626_0.931
3811-24391,0.22_1.0
3809-2012,0.867_0.981
3811-2397,0.934_0.999
3841-7203,1.536_0.998
3809-14946,0.322_1.0
3809-13410,1.236_0.939
3809-4645,0.863_0.972
3809-25130,0.344_0.962
3809-24788,1.323_0.973
3811-10227,0.735_0.998
3809-2386,0.06_1.0
3809-22249,1.167_0.991
3841-24276,0.65_0.858
3835-25004,2.0_0.996
3809-8939,0.697_0.984
3811-25881,1.176_0.927
3809-2134,0.482_0.995
3809-26291,0.888_0.909
3809-4626,0.534_0.998
3841-6661,1.107_0.933
3809-4570,0.61_0.98
3809-8812,0.125_1.0
3803-30889,0.552_0.998
3811-25912,0.802_0.994
3809-2295,0.858_0.976
3811-1258,0.255_0.949
3811-13752,0.064_1.0
3811-16122,1.017_0.951
3811-24880,1.686_0.976
3803-24276,0.67_0.94
3809-11088,1.682_0.969
3809-4102,1.566_0.895
3809-1668,1.797_0.991
3811-30422,1.083_0.986
3833-31066,2.0_0.975
3809-25144,0.206_1.0
3809-26637,0.612_0.99
3809-25141,0.892_0.976
3811-2394,0.772_0.959
3811-15,1.231_0.889
3811-30619,1.356_0.942
3809-9736,1.252_0.938
3809-1506,1.52_0.95
3809-1661,0.365_0.979
3841-5675,0.317_1.0
3841-26001,0.736_0.987
3809-21047,0.484_1.0
3811-18273,1.226_0.91
3809-25001,1.244_0.995
3811-20769,1.39_0.995
3803-3601,0.213_1.0
3809-9763,0.419_0.855
3809-10358,1.123_0.972
3809-9758,1.237_0.952
3809-22690,0.757_0.943
3809-23111,1.001_0.993
3833-30889,0.556_0.977
3833-31719,1.073_0.982
3811-25894,0.385_0.996
3809-4033,1.192_0.983
3809-18125,1.13_0.993
3803-7285,1.29_0.985
3809-5556,0.469_0.995
3809-4719,0.421_0.998
3841-24787,1.496_0.975
3811-24431,1.546_0.997
3833-26637,1.351_0.989
3809-25149,1.341_0.948
3809-9949,2.0_0.984
3803-2877,2.0_0.958
3803-6697,0.206_0.912
3809-2397,0.592_1.0
3809-6697,1.411_0.919
3833-26348,2.0_0.935
3809-5675,0.341_0.93
3809-23128,0.56_0.999
3809-23127,0.225_1.0
3809-2394,0.203_1.0
3809-3787,0.652_0.945
3809-2296,1.075_0.829
3809-2678,1.488_0.981
3811-22249,0.974_0.833
3803-8568,0.335_0.973
3809-20781,0.912_0.813
3809-26631,2.0_0.803
3809-4969,1.005_0.964
3809-4625,0.317_0.999
3811-31110,0.589_0.997
3803-1506,0.877_0.863
3811-30807,1.151_0.815
3809-19126,0.533_1.0
3809-25137,0.81_1.0
3809-25955,0.454_0.998
3803-26291,0.601_0.998
3841-9758,0.342_1.0
3811-25876,0.124_1.0
3811-25880,1.428_0.983
3833-25001,1.282_1.0
3811-2386,1.06_0.965
3809-2321,1.596_0.989
3809-2308,1.268_0.978
3803-25876,1.536_0.989
3841-19614,0.174_1.0
3841-24743,0.523_1.0
3809-4662,0.913_0.94
3809-10316,0.71_0.998
3811-10751,1.01_0.972
3803-25006,1.054_0.912
3803-5283,1.539_1.0
3809-24391,0.148_0.979
3809-16122,1.302_0.918
3811-2969,2.0_0.98
3803-19126,0.751_0.999
3809-24755,0.812_0.998
3803-26650,1.689_0.998
3809-922,0.965_0.775
3811-20503,2.0_0.971
3841-22249,1.618_0.906
3803-2277,0.641_0.908
3811-31719,0.868_0.907
3809-2969,1.355_0.969
3803-25881,1.569_0.994
3803-24788,2.0_0.957
3803-9507,1.058_0.923
3841-5673,1.649_0.916
3811-7203,0.64_0.997
3835-10497,2.0_1.0
3811-9949,1.172_0.964
3803-16122,0.98_0.986
3833-2386,0.995_0.947
3809-1360,0.8_1.0
3811-24755,2.0_0.979
3841-19615,2.0_0.816
3803-13754,0.312_1.0
3811-7280,1.041_0.854
3809-10930,0.152_1.0
3841-24816,0.308_1.0
3803-22249,1.018_0.998
3811-26838,0.422_0.998
3841-9949,0.569_1.0
3833-2238,1.118_0.977
3803-21116,1.61_0.908
3809-23097,1.015_0.925
3833-24743,2.0_0.889
3809-23217,1.464_0.991
3809-9825,0.821_0.998
3809-19420,0.634_0.988
3809-25876,0.218_0.957
3811-4969,0.273_0.996
3841-10401,1.052_0.903
3833-25069,1.921_0.955
3809-5763,1.589_0.928
3809-18223,0.22_1.0
3811-2677,1.969_0.836
3803-2012,0.224_0.949
3811-26292,1.505_0.958
3803-2609,0.966_0.998
3811-31205,1.276_0.918
3841-10853,1.253_1.0
3803-19070,0.825_0.995
3809-19688,2.0_0.838
3841-26291,0.234_0.943
3809-2720,1.028_0.828
3809-10961,1.1_0.99
3803-2284,0.546_0.947
3811-24403,2.0_0.889
3809-4959,1.575_0.967
3811-26348,1.225_0.778
3803-25141,0.803_0.932
3803-25126,0.914_1.0
3803-30818,0.784_0.996
3811-26650,0.523_0.995
3833-15,0.736_0.761
3833-19146,1.014_0.944
3835-24532,2.0_0.972
3809-20366,0.976_0.948
3811-10023,0.563_1.0
3811-2508,0.948_0.91
3803-26292,0.888_0.964
3841-8827,1.749_0.997
3803-2294,1.007_0.969
3833-26291,0.149_1.0
3811-26639,2.0_0.967
3841-24048,0.876_0.906
3809-18749,1.735_0.922
3809-24743,0.746_0.998
3803-2789,1.694_0.974
3811-7931,2.0_0.958
3833-25876,0.434_1.0
3833-23111,1.524_0.955
3809-4500,0.598_0.972
3809-26676,1.406_0.997
3841-16896,0.707_0.992
3811-26001,0.723_1.0
3833-31587,0.327_1.0
3835-9723,2.0_0.953
3811-2407,1.554_0.943
3811-2719,1.074_0.976
3809-11308,0.369_1.0
3811-26735,2.0_0.807
3811-21117,2.0_0.961
3809-21117,1.682_0.957
3811-31080,1.826_0.966
3809-25140,2.0_0.903
3841-2386,1.022_0.995
3811-19070,1.098_1.0
3811-21116,1.701_0.942
3803-1445,0.696_0.998
3803-26639,1.201_0.979
3841-1506,0.584_0.999
3803-4625,1.078_1.0
3841-30060,0.189_1.0
3841-18223,2.0_0.99
3811-2609,2.0_0.907
3841-20938,2.0_0.999
3809-9745,1.513_0.918
3809-7053,1.603_1.0
3803-23115,1.761_0.996
3811-18223,0.665_0.999
3811-13754,0.518_0.958
3809-22415,1.845_0.789
3841-26637,0.771_1.0
3833-23913,0.894_0.994
3833-26638,0.798_0.959
3841-1036,0.859_0.986
3841-19539,1.067_0.99
3809-4560,0.73_0.996
3841-25144,1.154_0.657
3841-19537,1.204_0.948
3841-26676,1.098_0.989
3841-16109,1.472_0.869
3809-27491,0.84_0.999
3809-25139,1.557_1.0
3809-19071,1.223_0.997
3811-23845,1.069_0.999
3841-16503,0.924_0.998
3803-26676,1.271_0.855
3841-23845,1.495_0.989
3803-25144,2.0_0.998
3841-2789,1.595_0.772
3809-1951,0.963_0.984
3811-15808,0.77_0.992
3841-2093,0.749_0.985
3811-25137,1.701_0.823
3803-2386,1.509_0.896
3811-23913,0.21_1.0
3811-26872,1.113_0.986
3803-5675,1.269_0.988
3809-5289,0.765_0.959
3803-25005,1.187_0.955
3809-1910,2.0_0.963
3811-10824,1.011_0.995
3803-31719,0.789_0.993
3811-13818,0.703_0.998
3803-26502,0.232_1.0
3803-18111,1.589_0.96
3809-8925,1.979_0.982
3803-4343,1.061_0.994
3803-13540,1.453_0.927
3841-16122,1.42_0.981
3811-7053,1.067_0.967
3841-31264,0.648_0.827
3809-31470,1.272_0.931
3841-19070,1.083_0.885
3803-2394,1.751_0.889
3833-7053,2.0_0.715
3809-18116,0.592_0.993
3809-26348,1.106_0.96
3811-2313,0.039_1.0
3811-4033,1.227_0.985
3809-26181,1.383_0.963
3809-6479,1.432_1.0
3809-9723,0.618_0.997
3811-26409,0.888_0.97
3809-23913,1.162_0.988
3841-2394,1.3_0.885
3811-2308,1.328_0.994
3809-10629,0.977_0.915
3803-26346,1.28_0.942
3833-2471,1.297_0.991
3803-461,1.257_0.943
3811-26676,0.816_0.985
3811-25140,2.0_0.887
3811-7222,1.148_0.95
3833-13754,1.312_0.946
3809-24048,1.101_0.981
3833-24880,2.0_0.991
3811-26002,0.924_0.97
3809-2556,1.041_0.94
3803-2397,2.0_0.966
3811-20169,1.749_0.967
3835-18468,1.6_0.95
3809-3002,1.167_0.998
3803-24755,0.947_0.95
3811-1910,1.485_0.863
3809-2609,0.412_1.0
3809-26182,1.594_0.992
3841-26638,2.0_0.861
3811-2276,1.638_1.0
3803-16589,1.352_0.952
3811-24394,1.726_0.944
3841-13410,1.236_0.958
3803-24302,0.633_0.948
3809-26375,0.773_0.94
3809-412,1.237_0.996
3811-24785,1.058_0.832
3841-10859,2.0_0.992
3841-26292,2.0_0.947
3833-9949,0.742_0.991
3841-15808,1.249_0.998
3803-10664,1.253_0.883
3841-19536,0.453_0.947
3841-5495,1.104_0.937
3803-16896,2.0_0.969
3809-10357,1.198_0.961
3809-2390,1.131_0.969
3803-5556,2.0_0.986
3833-5675,0.601_0.996
3811-24759,1.759_0.999
3809-4621,1.124_0.854
3811-25141,0.414_1.0
3809-8624,0.424_0.95
3811-16896,0.869_0.854
3811-25126,1.148_0.977
3841-7932,1.987_0.993
3841-26002,0.47_0.987
3811-22891,0.463_0.998
3841-21782,1.217_0.92
3809-16896,1.231_1.0
3811-30046,2.0_0.979
3811-26820,1.294_0.944
3803-15467,0.412_0.957
3811-16059,2.0_0.997
3811-24743,0.713_0.985
3811-25002,1.71_0.885
3803-1910,2.0_0.939
3841-15467,1.056_0.92
3811-15467,0.46_0.996
3803-2524,1.378_0.988
3811-7057,1.183_0.964
3809-20176,0.689_1.0
3833-21117,1.335_0.886
3803-9949,1.026_1.0
3841-18125,0.937_0.903
3811-19420,1.706_0.876
3811-2328,0.673_0.966
3811-4645,1.016_1.0
3841-2285,0.618_0.989
3803-23111,1.159_0.925
3809-9858,1.162_0.927
3841-25141,0.389_1.0
3833-7203,1.749_0.988
3809-20769,0.879_0.97
3809-22780,0.629_0.882
3809-24816,1.189_0.989
3809-26169,1.126_0.966
3809-8811,1.834_0.907
3809-7422,1.691_0.927
3809-10931,2.0_0.832
3809-26735,1.278_0.989
3841-2554,0.388_0.999
3841-26348,2.0_0.769
3833-26278,2.0_0.923
3841-10932,1.59_0.998
3811-18853,0.978_0.941
3809-2328,1.385_0.991
3809-26882,0.83_0.983
3809-18171,0.691_1.0
3811-26864,0.434_0.999
3811-25149,1.166_0.801
3811-1378,1.434_0.96
3803-2958,0.854_0.845
3811-1830,1.615_0.951
3803-31080,1.145_1.0
3809-30046,1.187_0.973
3841-25876,1.179_0.998
3809-23201,1.44_0.979
3809-26907,1.097_0.998
3811-4629,1.176_0.84
3833-20169,0.755_0.997
3811-15829,1.91_0.933
3841-16107,1.038_1.0
3841-2296,1.56_0.985
3803-1360,1.158_0.839
3811-26882,1.057_0.861
3841-1258,1.159_0.974
3841-10577,2.0_0.985
3803-26638,1.396_0.998
3841-19545,2.0_0.998
3811-21927,0.484_1.0
3811-24028,2.0_0.946
3811-26638,1.24_0.983
3841-20524,2.0_0.883
3811-14106,0.967_1.0
3809-25878,1.135_0.933
3811-18885,0.556_0.923
3811-8586,0.839_0.771
3809-25045,1.229_0.984
3833-2678,0.92_0.972
3811-19126,1.53_0.977
3809-20108,1.029_0.993
3841-4996,1.928_0.883
3811-27173,0.73_1.0
3803-25834,1.656_0.869
3803-3002,1.699_0.821
3809-2789,2.0_0.99
3841-31719,0.122_1.0
3811-25878,0.771_0.966
3833-25137,0.851_0.92
3803-26348,1.262_0.992
3809-19900,1.523_0.879
3841-18224,2.0_0.992
3833-16896,0.607_1.0
3841-10551,1.093_0.955
3811-23111,0.409_0.94
3809-1958,1.793_0.931
3811-13810,0.16_1.0
3811-26290,1.053_0.917
3811-2341,1.082_0.84
3811-25144,2.0_0.999
3811-9763,2.0_0.951
3811-19831,2.0_0.867
3803-13515,1.13_0.978
3809-13754,1.714_0.832
3809-25881,1.625_0.882
3803-7203,1.956_0.995
3803-11326,1.388_0.819
3833-2274,1.523_0.997
3811-30573,1.469_0.877
3811-24742,1.81_0.996
3841-14409,1.922_0.952
3811-9506,1.436_0.81
3811-10974,2.0_0.963
3833-8812,1.546_0.922
3841-16611,0.729_0.885
3833-19375,1.156_0.964
3833-2394,1.354_0.902
3833-16122,1.867_0.947
3809-8706,0.257_0.959
3835-2617,2.0_0.974
3811-23115,1.763_0.947
3841-21116,0.978_0.943
3811-26647,1.271_0.989
3841-11091,2.0_0.819
3803-24178,0.689_0.963
3811-14276,1.217_0.913
3803-1135,2.0_0.994
3833-26292,0.983_0.92
3803-2285,1.403_0.987
3811-19900,0.676_0.975
3811-2563,1.984_0.995
3811-1360,1.317_0.999
3841-10930,0.591_0.918
3811-8567,0.589_0.971
3833-20769,1.064_0.947
3811-26884,1.229_0.874
3833-18223,2.0_0.997
3811-13515,2.0_0.991
3811-1840,1.894_0.965
3811-5675,1.842_0.957
3833-26650,0.888_1.0
3811-2466,0.887_0.958
3811-24302,1.344_0.98
3811-10316,2.0_0.841
3809-7222,2.0_0.999
3841-30408,2.0_0.9
3841-26650,1.501_0.996
3811-13410,2.0_0.924
3811-2340,1.891_0.988
3809-26647,1.74_0.927
3841-22780,1.028_0.977
3811-2274,2.0_0.931
3803-7930,2.0_0.814
3833-4625,1.927_0.857
3841-24753,1.027_1.0
3811-6356,2.0_0.939
3841-26639,2.0_0.821
3811-4635,2.0_1.0
3811-25130,2.0_0.834
3811-8838,1.394_0.953
3811-26679,1.524_0.989
3811-19027,1.53_0.934
3841-27421,0.993_0.965
3841-2397,2.0_0.856
3809-10006,1.185_0.949
3833-10974,1.013_0.965
3809-24796,0.576_0.996
3841-1840,1.15_0.972
3809-1840,1.665_0.864
3809-18853,1.079_0.94
3841-25881,2.0_0.93
3811-22780,0.475_1.0
3811-10859,1.105_0.989
3841-20769,1.621_0.923
3811-23772,2.0_0.91
3833-26679,1.11_0.948
3811-24787,1.222_0.927
3835-18548,2.0_0.998
3811-15824,0.306_0.957
3841-15824,2.0_0.988
3835-2679,1.365_0.978
3841-19831,2.0_0.943
3835-18550,2.0_0.92
3811-27212,2.0_1.0
3811-26492,2.0_0.991
